requirement_id,scope,component,model_requirement,implementation_route,classification,finding,evidence,impact,recommended_action,blocking_for_numerical_scheme_work
R2D-STATE-001,Regional2D,Conserved state,"The regional NLSWE state is U=[h,qx,qy]^T with q=h u.","RegionalConservedState and ShallowWaterState store depth, momentum_x, momentum_y.",EXACT_MATCH,The implementation uses the same conserved variables and wet-state primitive recovery.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:280; docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:292; src/r2d/src/RegionalConservedState.cpp; src/r2d/src/ShallowWaterState.cpp,No model-code issue.,Keep as baseline.,False
R2D-STATE-002,Regional2D,Free surface,Free-surface elevation is eta=h+b with bed elevation positive upward.,FreeSurfaceElevation and snapshot/export writers compute/store bed_elevation and free_surface_elevation.,EXACT_MATCH,"The sign convention and eta relation are preserved in state preparation, snapshots, and coupling export.",docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:280; src/r2d/src/FreeSurfaceElevation.cpp; src/r2d_io/src/RegionalCsvOutputWriter.cpp:328; src/r2d_case_runner/src/RegionalFileCaseRunner.cpp:1074,No model-code issue.,Keep eta=h+b explicit in future case evidence.,False
R2D-EQS-001,Regional2D,Continuity equation,dh/dt + div(q)=source-free mass evolution except boundary/relaxation terms.,Well-balanced finite-volume residual updates depth by net face mass flux and relaxation source where configured.,DISCRETE_EQUIVALENT,The continuous conservation law is implemented as a conservative cell residual.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:302; src/r2d/src/WellBalancedResidualEvaluation.cpp; src/r2d/src/WetDryUpdate.cpp; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:5,No governing-equation mismatch.,Proceed with numerical method changes as discretisation work.,False
R2D-EQS-002,Regional2D,Momentum equations,"dqx/dt and dqy/dt use advective momentum flux, hydrostatic pressure, bed slope, friction, optional Coriolis, and relaxation.","Normal flux, hydrostatic reconstruction, local sources, and relaxation residual jointly implement the momentum balance.",DISCRETE_EQUIVALENT,Momentum physics are represented through standard finite-volume operators rather than pointwise Cartesian derivatives.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:302; src/r2d/src/ShallowWaterFlux.cpp:76; src/r2d/src/HydrostaticReconstruction.cpp:31; src/r2d/src/RegionalSourceUpdate.cpp:117; src/r2d/src/RegionalRelaxationZone.cpp,No governing-equation mismatch.,Numerical-order work may target flux/reconstruction without changing the model.,False
R2D-FLUX-001,Regional2D,Cartesian fluxes,"F(U) and G(U) contain qx, qy, qx^2/h, qx*qy/h, qy^2/h and 0.5*g*h^2 pressure terms.",ShallowWaterFlux evaluates the physical normal flux from U and the unit face normal.,DISCRETE_EQUIVALENT,"The code evaluates F n_x + G n_y directly, which is the face-normal finite-volume equivalent.",docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:310; docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:452; src/r2d/src/ShallowWaterFlux.cpp:105,No flux-model mismatch.,Keep flux changes restricted to numerical flux/reconstruction experiments.,False
R2D-FLUX-002,Regional2D,Normal velocity and wave speed,The Rusanov speed is max(|u_n|+sqrt(g h)) over left/right states.,characteristic_signal_speed and maximum_characteristic_signal_speed use the same expression.,EXACT_MATCH,The local Lax-Friedrichs wave speed matches the documented baseline.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:448; docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:468; src/r2d/src/ShallowWaterFlux.cpp:130,No issue.,Keep as reference when testing alternative fluxes.,False
R2D-FLUX-003,Regional2D,Rusanov numerical flux,The baseline numerical flux is local Lax-Friedrichs/Rusanov.,RusanovFlux computes half-sum physical flux minus half alpha state jump.,EXACT_MATCH,The documented numerical flux is implemented algebraically.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:461; src/r2d/src/RusanovFlux.cpp:15; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:6,No issue.,Retain Rusanov as the frozen reference for convergence comparisons.,False
R2D-SRC-BED-001,Regional2D,Bathymetric source,"Bed source is S_b=[0,-g h b_x,-g h b_y]^T.","Hydrostatic reconstruction uses b_f=max(b_L,b_R) and pressure corrections in the residual.",DISCRETE_EQUIVALENT,The bed slope is not differenced as a raw gradient; it is represented by a well-balanced hydrostatic discretisation.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:326; docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:477; src/r2d/src/HydrostaticReconstruction.cpp:78; src/r2d/src/WellBalancedResidualEvaluation.cpp,No physics mismatch; this is the accepted discrete equivalent.,Keep lake-at-rest tests as mandatory evidence for changes.,False
R2D-SRC-FRIC-001,Regional2D,Manning friction,Manning bottom friction damps qx and qy as -g n_M^2 q |q| / h^(7/3) in wet cells.,"RegionalSourceUpdate computes k=g*n^2/h^(7/3), rate=k*|q|, and scales momentum by 1/(1+k|q|dt).",DISCRETE_EQUIVALENT,The update is a semi-implicit exact damping form for the same algebraic source direction.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:336; src/r2d/src/RegionalSourceTerms.cpp; src/r2d/src/RegionalSourceUpdate.cpp:162; docs/workstream/wbs-reconciliation/g6_model_traceability_matrix.md:9,No physical-source mismatch.,Document the semi-implicit source discretisation in numerical-method notes.,False
R2D-SRC-COR-001,Regional2D,Coriolis forcing,Coriolis may be included for sufficiently long propagation scales.,"Coriolis source fields and rotation update exist, but the Kamaishi/frozen-terrain baseline disables them.",OPTIONAL_DISABLED,The optional term is implemented but not active in accepted C1A/G6 baselines.,docs/Latex/Proposed Model/studentship_consolidated_mathematical_model_v1.0.tex:350; src/r2d/src/RegionalSourceTerms.cpp; src/r2d/src/RegionalSourceUpdate.cpp:177; cases/kamaishi_delivery/case_spec.json:107,No blocker because the model marks Coriolis optional.,Keep disabled unless event/domain evidence requires it.,False
