Jira issue key,WBS ID,Issue summary,Field to be changed,Current Jira value,Proposed working value,Rationale,Affected research file,Evidence status,Research status,Jira-sync status,Date last reviewed
SS-335,RES-ML,Machine-Learning Methodology,Scope and purpose,Previous broad ML/geometry direction,Event-conditioned supervised response and reinforcement-screening methodology,Align ML workstream with validated existing-defence scope,docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/res-ml.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-399,RES-ML-ROL,Machine-Learning Role and Reinforcement-Assessment Use Cases,Scope and exclusions,Generated geometry/inverse-design emphasis,Retain response surrogate classifier screening active learning and reduced-order roles; defer generative geometry inverse design RL and cross-event transfer,Prevent over-claiming ML role before validation,docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-ROL - Machine-Learning Role and Use-Case Definition/res-ml-rol.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-400,RES-ML-DAT,Historical and Simulation-Derived Learning Dataset Requirements,Dataset definition,Potential broad multi-event dataset,Complete simulation case with defence geometry version event condition reinforcement numerical configuration and response labels,Make simulation provenance and grouped validation explicit,docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-DAT - Learning Dataset and Simulation-Data Requirements/res-ml-dat.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-401,RES-ML-REP,Defence Event Intervention and Response Representation,Representation scope,Potential high-dimensional geometry learning,Controlled tabular or low-dimensional defence event intervention and response descriptors,Match small-data event-conditioned workflow,"docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-REP - Input, Output and Geometry Representation/res-ml-rep.tex",Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-402,RES-ML-ALG,Surrogate and Classification Algorithm Assessment,Algorithm hierarchy,Unspecified or neural-network-forward approach,Baseline-first hierarchy from linear models through kernels ensembles Gaussian processes and neural networks only if data volume supports them,Avoid selecting final algorithm without evidence,docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-ALG - Learning Algorithm and Architecture Assessment/res-ml-alg.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-403,RES-ML-OBJ,Prediction Losses Damage Labels and Engineering Constraints,Losses and rewards,Includes reinforcement-learning rewards in active scope,Remove RL rewards; use regression classification constraints and asymmetric safety errors,Align objective definitions with supervised assessment,"docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-OBJ - Loss Functions, Rewards and Physical Constraints/res-ml-obj.tex",Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-404,RES-ML-SUR,Event-Conditioned Response Surrogate and Active-Sampling Strategy,Central deliverable scope,General surrogate/multifidelity scope,Central event-conditioned response surrogate with uncertainty active sampling and FSI fallback,Make surrogate role explicit and bounded,"docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-SUR - Surrogate, Multifidelity and Active-Learning Strategy/res-ml-sur.tex",Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-405,RES-ML-TRN,Training Grouped Validation and Model-Selection Methodology,Validation method,Secondary-event holdout requirement,Grouped splits by complete simulation held-out reinforcement held-out condition ranges structure holdout where possible and independent final tests,Prevent leakage and remove unsupported cross-event requirement,"docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-TRN - Training, Validation and Experiment Methodology/res-ml-trn.tex",Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-406,RES-ML-GEN,Within-Domain Generalisation Uncertainty and Interpretability,Generalisation claim,Cross-event performance as initial acceptance concern,Restrict claims to validated event-conditioned domain with uncertainty calibration and out-of-domain rejection,Avoid unsupported cross-event claims,"docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-GEN - Generalisation, Uncertainty and Interpretability/res-ml-gen.tex",Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-407,RES-ML-INT,Integration with Validated Simulation and Reinforcement Screening,Integration sequence,Unspecified simulation/optimisation integration,Select defence specify event and option verify domain predict response screen options require FSI fallback add verified simulations,Govern surrogate use and confirmation,docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-INT - Integration with Simulation and Optimisation/res-ml-int.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
