WBS ID,Level,Issue Title,Parent WBS ID,Gate,Scope Class,Initial Status,Dependencies,Research Inputs,Acceptance,Body Note
SWE,Workstream,[SWE] Software Implementation Workstream,,G0-G5,Active baseline,In Progress,,,All active baseline Domains reach their accepted gate; deferred/stretch scope remains explicitly separated.,
SWE-ENV,Domain,"[SWE-ENV] Toolchain, Packages and Builds",SWE,G0,Active baseline,Ready,,,All child Deliverables satisfy their acceptance criteria and required verification evidence.,
SWE-ARC,Domain,[SWE-ARC] Architecture and Contracts,SWE,G0,Active baseline,Ready,,,All child Deliverables satisfy their acceptance criteria and required verification evidence.,
SWE-FVM,Domain,[SWE-FVM] Shared Finite-Volume Core,SWE,G1,Active baseline,Ready,,,All child Deliverables satisfy their acceptance criteria and required verification evidence.,
SWE-DAT,Domain,"[SWE-DAT] Configuration, Data and I/O",SWE,G1,Active baseline,Ready,,,All child Deliverables satisfy their acceptance criteria and required verification evidence.,
SWE-GEO,Domain,"[SWE-GEO] Geospatial, Terrain and Geometry Pipeline",SWE,G1,Active baseline,Ready,,,All child Deliverables satisfy their acceptance criteria and required verification evidence.,
SWE-R2D,Domain,[SWE-R2D] Regional 2D Solver,SWE,G2,Active baseline,Backlog,,,All child Deliverables satisfy their acceptance criteria and required verification evidence.,
SWE-L3D,Domain,[SWE-L3D] Local 3D Solver,SWE,G3,Active baseline,Backlog,,,All child Deliverables satisfy their acceptance criteria and required verification evidence.,
SWE-CPL,Domain,[SWE-CPL] Replay Coupling and Impact Analysis,SWE,G4,Active baseline,Backlog,,,All child Deliverables satisfy their acceptance criteria and required verification evidence.,
SWE-GUI,Domain,[SWE-GUI] Application and Visualisation,SWE,G0/G1,Active baseline,Ready,,,All child Deliverables satisfy their acceptance criteria and required verification evidence.,
SWE-VER,Domain,[SWE-VER] Verification and Validation Support,SWE,Continuous,Continuous baseline,Ready,,,All child Deliverables satisfy their acceptance criteria and required verification evidence.,
SWE-HPC,Domain,[SWE-HPC] Performance and Parallelism,SWE,Post-G5,Deferred,Backlog,,,All child Deliverables satisfy their acceptance criteria and required verification evidence.,
SWE-STR,Domain,[SWE-STR] Structural Response and FSI,SWE,Post-G5,Stretch,Backlog,,,All child Deliverables satisfy their acceptance criteria and required verification evidence.,
SWE-REL,Domain,"[SWE-REL] CI, Documentation and Deployment",SWE,G0 onward,Continuous baseline,Ready,,,All child Deliverables satisfy their acceptance criteria and required verification evidence.,
SWE-ENV-STACK,Deliverable,[SWE-ENV-STACK] Software stack and dependency decision register.,SWE-ENV,G0,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-ENV-BLD,Deliverable,[SWE-ENV-BLD] Target-based CMake build system.,SWE-ENV,G0,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-ENV-DEP,Deliverable,[SWE-ENV-DEP] Reproducible dependency manifest and version baseline.,SWE-ENV,G0,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-ENV-PRS,Deliverable,"[SWE-ENV-PRS] Shared configure, build and test presets.",SWE-ENV,G0,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
SWE-ENV-LIC,Deliverable,[SWE-ENV-LIC] Dependency licence and redistribution register.,SWE-ENV,G0,Active baseline,Ready,,,All authorised child Work Packages are complete and Deliverable-specific evidence is linked.,
