model_component,mathematical_role,governing_equation_or_condition,implementation_route,implementation_authority,repository_location,configuration_location,test_evidence,run_evidence,wbs_id,g6_status,remaining_gap
NLSWE continuity,Regional mass conservation,dh/dt + div(q)=0,repository-native implementation,tsunami::r2d,src/r2d/src/RegionalResidualEvaluation.cpp; src/r2d/src/RegionalSolveLoop.cpp,cases/kamaishi_delivery/case_spec.json,tests/r2d/*; tests/r2d_io/*; Regional2D issues #47-#55 closed by PR #255,PR #271 accepted Kamaishi 1800 s Regional2D run and 300 s Local3D replay,SWE-R2D-STA,accepted,
NLSWE x momentum,Regional x momentum,dqx/dt + div(qx u) + g h d eta/dx + sources = 0,repository-native implementation,tsunami::r2d,src/r2d/src/ShallowWaterFlux.cpp; src/r2d/src/RegionalResidualEvaluation.cpp,cases/kamaishi_delivery/case_spec.json,tests/r2d/*; tests/r2d_io/*; Regional2D issues #47-#55 closed by PR #255,PR #271 accepted Kamaishi 1800 s Regional2D run and 300 s Local3D replay,SWE-R2D-FLX,accepted,
NLSWE y momentum,Regional y momentum,dqy/dt + div(qy u) + g h d eta/dy + sources = 0,repository-native implementation,tsunami::r2d,src/r2d/src/ShallowWaterFlux.cpp; src/r2d/src/RegionalResidualEvaluation.cpp,cases/kamaishi_delivery/case_spec.json,tests/r2d/*; tests/r2d_io/*; Regional2D issues #47-#55 closed by PR #255,PR #271 accepted Kamaishi 1800 s Regional2D run and 300 s Local3D replay,SWE-R2D-FLX,accepted,
bathymetry source,Bed elevation and hydrostatic source,eta=h+zb; hydrostatic reconstruction and bed pressure correction,repository-native implementation,tsunami::r2d,src/r2d/src/RegionalBathymetry.cpp; src/r2d/src/HydrostaticReconstruction.cpp,cases/kamaishi_delivery/case_spec.json,tests/r2d/well_balanced_wet_dry_tests.cpp,PR #271 accepted Kamaishi 1800 s Regional2D run and 300 s Local3D replay,SWE-R2D-WB,accepted,
Manning friction,Bottom friction source,Strang-split Manning source term,repository-native implementation,tsunami::r2d,src/r2d/src/RegionalSourceTerms.cpp; src/r2d/src/RegionalSourceTimestep.cpp,cases/kamaishi_delivery/case_spec.json,tests/r2d/regional_source_terms_tests.cpp where present; PR #255 closure evidence,PR #271 accepted Kamaishi 1800 s Regional2D run and 300 s Local3D replay,SWE-R2D-SRC,accepted,
wet/dry handling,Shoreline positivity,Hydrostatic reconstruction plus draining-time positivity restriction,repository-native implementation,tsunami::r2d,src/r2d/src/WetDryUpdate.cpp; src/r2d/src/PositivityTimestep.cpp,cases/kamaishi_delivery/case_spec.json,tests/r2d/well_balanced_wet_dry_tests.cpp,PR #271 accepted Kamaishi 1800 s Regional2D run and 300 s Local3D replay,SWE-R2D-WD,accepted,
Regional2D boundaries,Open/radiation and sponge boundaries,Characteristic radiation and relaxation-zone source residual,repository-native implementation,tsunami::r2d,src/r2d/src/RegionalBoundaryCondition.cpp; src/r2d/src/RegionalRelaxationZone.cpp,cases/kamaishi_delivery/case_spec.json,tests/r2d/regional_boundary_condition_tests.cpp where present; PR #255/#268 evidence,PR #271 accepted Kamaishi 1800 s Regional2D run and 300 s Local3D replay,SWE-R2D-BC,accepted,
earthquake displacement,Moving seabed source,Vertical seabed displacement from USGS finite-fault artifact,repository-native implementation plus external scientific library,tools/earthquake + GeoClaw preprocessing,tools/earthquake/tohoku_usgs_finite_fault.py; src/r2d/src/RegionalEarthquakeInitialisation.cpp,cases/kamaishi_delivery/case_spec.json; data/source/earthquake/README.md,tests/cases/test_tohoku_producer_crs.py,PR #271 accepted Kamaishi 1800 s Regional2D run and 300 s Local3D replay,SWE-R2D-EQK,accepted,
free-surface source transfer,Passive free-surface initialisation,eta displacement follows effective seabed displacement in accepted baseline,repository-native implementation,tsunami::r2d,src/r2d/src/RegionalEarthquakeInitialisation.cpp,cases/kamaishi_delivery/case_spec.json,tests/r2d/regional_earthquake_initialisation_tests.cpp where present; PR #269 evidence,PR #271 accepted Kamaishi 1800 s Regional2D run and 300 s Local3D replay,SWE-R2D-EQK,accepted,
corridor geometry,Kamaishi source-to-interface corridor,Projected CRS corridor from epicentre to nearshore target,repository-native implementation plus external geospatial library,tsunami::geo + PROJ/GDAL adapters,tools/cases/kamaishi_delivery.py; src/geo/src/CorridorConstruction.cpp,cases/kamaishi_delivery/case_spec.json,tests/geo/corridor_construction_tests.cpp; tests/cases/test_kamaishi_delivery.py,PR #271 accepted Kamaishi 1800 s Regional2D run and 300 s Local3D replay,SWE-GEO-COR,accepted,
