wbs_id,issue_number,title,level,parent_wbs,current_state,recommended_disposition,gate_relevance,implementation_route,evidence,remaining_acceptance,recommended_issue_action
SWE,1,[SWE] Software Implementation Workstream,Workstream,,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-ENV,2,"[SWE-ENV] Toolchain, Packages and Builds",Domain,SWE,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-ARC,3,[SWE-ARC] Architecture and Contracts,Domain,SWE,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-FVM,4,[SWE-FVM] Shared Finite-Volume Core,Domain,SWE,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-DAT,5,"[SWE-DAT] Configuration, Data and I/O",Domain,SWE,open,partial,excluded_from_current_scope,Native + external library,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-GEO,6,"[SWE-GEO] Geospatial, Terrain and Geometry Pipeline",Domain,SWE,open,partial,g6_required,Native + external library,"PR #271 / merge commit 1ba6475 constructs the Kamaishi corridor, CRS target, terrain conditioning and nearshore interface in cases/kamaishi_delivery/case_spec.json and tools/cases/kamaishi_delivery.py.",acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-R2D,7,[SWE-R2D] Regional 2D Solver,Domain,SWE,closed,complete_native,g6_required,Native,"PR #255 / squash commit 6eda108 closes Regional2D domain #7 and children #47-#55.; PR #268 / merge commit c0f10dc adds the file-driven Regional2D case runner and CSV outputs.; src/r2d/src/* implements NLSWE state, flux, well balancing, wet/dry, source terms, boundaries and solve loop.; src/r2d_case_runner/src/RegionalFileCaseRunner.cpp validates file-driven real-case execution and final physical state.; tests/r2d/* and tests/r2d_io/* cover state, flux, wet/dry, boundary, solve-loop and CSV output behavior.",,No automatic issue mutation; preserve current state.
SWE-L3D,8,[SWE-L3D] Local 3D Solver,Domain,SWE,open,partial,g6_required,OpenFOAM adopted,"PR #270 / merge commit dc416f8 adds OpenFOAM 11 replay conversion, case generation, wrapper and synthetic smoke acceptance.; PR #271 / merge commit 1ba6475 adds the Kamaishi end-to-end delivery pipeline and complete 300 s Local3D replay acceptance.; tools/openfoam/openfoam_replay.py generates OpenFOAM dictionaries for incompressibleVoF, kOmegaSST, fields, boundaries, probes and forces.; tools/openfoam/run_openfoam11.sh runs docker.io/openfoam/openfoam11-paraview510:11 with networking disabled.; tools/cases/kamaishi_delivery.py orchestrates no_defence and simple_rigid_barrier OpenFOAM stages and validates outputs.; tests/openfoam/test_openfoam_replay.py and tests/cases/test_kamaishi_delivery.py cover replay conversion, case generation and delivery controls.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.","production boundary, wall-function and timestep evidence at baseline G6 level; full Local3D wall/load validation remains post-G6",Add evidence comment and keep open.
SWE-CPL,9,[SWE-CPL] Replay Coupling and Impact Analysis,Domain,SWE,open,partial,g6_required,Native,"PR #269 / merge commit 5de4a2f exports Regional2D coupling metadata.json, samples.csv and history.csv.; PR #270 / merge commit dc416f8 converts G3 coupling exports to OpenFOAM boundaryData and replay diagnostics.; src/coupling/include/tsunami/coupling/SectionExport.hpp records the section export contract.; tools/openfoam/openfoam_replay.py validates sample ordering, support widths, interpolation, dry handling and discharge residuals.; tests/openfoam/test_openfoam_replay.py covers parser rejection, deterministic boundaryData, support widths and discharge residuals.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.",full impact metrics; barrier-class comparison beyond simplified rigid wall,Add evidence comment and keep open.
SWE-GUI,10,[SWE-GUI] Application and Visualisation,Domain,SWE,open,deferred,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,deferred until after theoretical-model gate and calibration readiness,Keep open if open; mark deferred/excluded in reconciliation ledger and Project fields where supported.
